name,city,state,website,num_of_children,children_properties
Delta Hotels by Marriott Milwaukee Northwest,Menomonee Falls,Wisconsin,https://www.hospitalityonline.com/delta-milwaukee-northwest/locations,1,https://www.marriott.com/hotels/travel/mkedm-delta-hotels-milwaukee-northwest/
BPR Properties,High Point,North Carolina,https://www.hospitalityonline.com/bpr-properties/locations,18,http://www.bpr-properties.com
"Pyramid Network Services, LLC",East Syracuse,New York,https://www.hospitalityonline.com/pyramid-network/locations,16,http://www.pyramidnetworkservices.com/
Prism Hotels & Resorts,Dallas,Texas,https://www.hospitalityonline.com/prism-hotels-resorts/locations,27,https://prismhotels.com/
Sightline Hospitality,San Francisco,California,https://www.hospitalityonline.com/sightline/locations,11,https://www.sightlinehospitality.com
Hilton Garden Inn Louisville Downtown,Louisville,Kentucky,https://www.hospitalityonline.com/hgi-louisville-downtown/locations,1,http://hiltongardeninn3.hilton.com/en/hotels/kentucky/hilton-garden-inn-louisville-downtown-SDFLDGI/index.html
Helix Hospitality,Itasca,Illinois,https://www.hospitalityonline.com/helix-hospitality/locations,10,http://www.helixhotels.com
River Link Hotels,Fishkill,New York,https://www.hospitalityonline.com/river-link-hotels/locations,6,https://riverlinkhotels.com/
HRI Lodging,New Orleans,Louisiana,https://www.hospitalityonline.com/hri-lodging/locations,23,http://www.hrilodging.com
Wind Creek Hospitality,Atmore,Alabama,https://www.hospitalityonline.com/wind-creek-hospitality/locations,10,https://windcreekhospitality.com
Holladay Hospitality Group,South Bend,Indiana,https://www.hospitalityonline.com/holladay-hospitality-group/locations,4,https://www.holladayproperties.com/properties/hospitality/
Hilton Nashville Green Hills,Nashville,Tennessee,https://www.hospitalityonline.com/hilton-green-hills/locations,1,https://www3.hilton.com/en/hotels/tennessee/hilton-nashville-green-hills-BNAGRHH/index.html
"Hotel Management and Consulting, Inc.",Overland Park,Kansas,https://www.hospitalityonline.com/hotelmc/locations,47,https://www.hotelmc.net
Davidson Hotels & Resorts,Atlanta,Georgia,https://www.hospitalityonline.com/davidsonhotels/locations,47,https://www.davidsonhotels.com/
Equis Hotels,Saint Louis,Missouri,https://www.hospitalityonline.com/equis-hospitality/locations,7,http://www.equishotels.com
"Adventure Hospitality, LLC",Lake Geneva,Wisconsin,https://www.hospitalityonline.com/employers/282504/locations,1,https://www.adventurehospitality.com
Renaissance Toledo Downtown Hotel,Toledo,Ohio,https://www.hospitalityonline.com/renaissance-toledo/locations,2,https://www.marriott.com/hotels/travel/tolgp-renaissance-toledo-downtown-hotel/
